"06501: Inntekter, gjeld, bruttoformue og utlignet skatt for personlige skogeiere og deres ektefelle/samboer (1 000 kr), etter statistikkvariabel, region og år"

"statistikkvariabel";"region";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021"
"Utlikna skatt";"11 Rogaland";725977;695477;801081;902954;923460;962361;1171447;1286374;1385558;1440639;1498484;1455823;1450929;1476959;1523894;1622659;1881350
"Utlikna skatt";"46 Vestland";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3745648;4428440
"Utlikna skatt";"12 Hordaland (-2019)";1113134;1127682;1268599;1430404;1450535;1514582;1784558;2081582;2169467;2230494;2407422;2389509;2232034;2380503;2410823;0;0
"Utlikna skatt";"14 Sogn og Fjordane (-2019)";636426;647749;697263;772734;793064;832977;985231;1078411;1117906;1139776;1229537;1220300;1216799;1261163;1293039;0;0
"Utlikna skatt";"15 Møre og Romsdal";908983;933932;1090896;1151215;1147844;1208043;1446821;1541067;1613120;1652408;1757362;1765777;1791081;1804375;1821153;1863473;2051532
"Utlikna skatt";"50 Trøndelag - Trööndelage";0;0;0;0;0;0;0;0;0;0;0;0;0;2929453;2994779;3152216;3723203
"Utlikna skatt";"16 Sør-Trøndelag (-2017)";958897;877536;977172;1086878;1073713;1163797;1267720;1382319;1417348;1467163;1624231;1747126;1639036;0;0;0;0
"Utlikna skatt";"17 Nord-Trøndelag (-2017)";718254;711445;770894;794786;810558;844826;951471;1048226;1069293;1084668;1192759;1211670;1182067;0;0;0;0
"Utlikna skatt";"18 Nordland - Nordlánnda";837216;837553;922988;1000441;1003878;1067494;1144499;1336593;1393250;1435553;1591838;1570420;1580038;1615621;1666799;1714050;2076418
"Utlikna skatt";"54 Troms og Finnmark - Romsa ja Finnmárku";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1548080;1656274
"Utlikna skatt";"19 Troms - Romsa (-2019)";595205;620863;715225;796771;815413;860873;951832;1088769;1124957;1192565;1291979;1293064;1270887;1320144;1365085;0;0
"Utlikna skatt";"20 Finnmark - Finnmárku (-2019)";48946;58191;55406;62099;60475;62202;59571;72612;73956;74534;79851;85518;83002;93827;94640;0;0
"Personinntekt lønn og pensjon";"03+30 Oslo og Viken";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17801237;18587721
